date,portfolio_value,cash,position_value,sip_value,num_positions,num_sip_positions,total_trades,current_position_size,total_self_dividend
2023-10-12,1449949.3684424306,2876.5826420591657,274129.7282868636,1172943.0575135078,22,32,311,14515.892892608545,98983.89658878921
2023-10-13,1450458.1009996703,2876.5826420591657,273635.8806923028,1173945.6376653083,22,32,311,14515.892892608545,98983.89658878921
2023-10-16,1451426.6739322245,711.5069806317365,273082.1596849896,1177633.0072666032,22,32,311,14515.892892608545,98983.89658878921
2023-10-17,1457779.3851330257,711.5069806317365,274257.9483818674,1182809.9297705265,22,32,311,14515.892892608545,98983.89658878921
2023-10-18,1450410.1348129816,711.5069806317365,272906.89760432317,1176791.7302280266,22,32,311,14515.892892608545,98983.89658878921
2023-10-19,1455135.6727886628,15886.704945347441,257634.17254150295,1181614.7953018125,21,32,312,14533.967500762108,99381.53796816763
2023-10-20,1445082.6641646135,2626.2804022035084,256067.82494686786,1186388.5588155421,21,32,312,14533.967500762108,99381.53796816763
2023-10-23,1421685.7598129185,2626.2804022035084,252048.21474939652,1167011.2646613184,21,32,312,14533.967500762108,99381.53796816763
2023-10-25,1410424.340375539,2626.2804022035084,250112.63604666287,1157685.4239266724,21,32,312,14533.967500762108,99381.53796816763
2023-10-26,1390337.5481680364,2626.2804022035084,246505.16449210807,1141206.103273725,21,32,312,14533.967500762108,99381.53796816763
2023-10-27,1405247.3261872155,2626.2804022035084,248139.28385180634,1154481.7619332056,21,32,312,14533.967500762108,99381.53796816763
2023-10-30,1406167.4557641307,2626.2804022035084,248537.4189532004,1155003.7564087268,21,32,312,14533.967500762108,99381.53796816763
2023-10-31,1405913.7112242233,2626.2804022035084,247732.35835264515,1155555.0724693746,21,32,312,14533.967500762108,99381.53796816763
2023-11-01,1398803.4471404867,2626.2804022035084,247001.09882340793,1149176.0679148752,21,32,312,14533.967500762108,99381.53796816763
2023-11-02,1410929.2584524108,2626.2804022035084,248910.36724874057,1159392.6108014667,21,32,312,14533.967500762108,99381.53796816763
2023-11-03,1421655.786054581,418.32351220726287,251568.85050516052,1169668.6120372133,21,32,312,14533.967500762108,99381.53796816763
2023-11-06,1436016.7118331231,418.32351220726287,253925.89865062616,1181672.4896702897,21,32,312,14533.967500762108,99381.53796816763
2023-11-07,1436806.1726413402,418.32351220726287,254048.3457513211,1182339.5033778118,21,32,312,14533.967500762108,99381.53796816763
2023-11-08,1441361.4180678027,418.32351220726287,254670.08959670016,1186273.0049588953,21,32,312,14533.967500762108,99381.53796816763
2023-11-09,1439920.7836550819,418.32351220726287,254223.84725614786,1185278.6128867269,21,32,312,14533.967500762108,99381.53796816763
2023-11-10,1440131.3147796518,15583.187031939207,238736.59172955118,1185811.5360181613,20,32,313,14550.397763025818,99726.57347570552
2023-11-12,1447440.6903621538,8519.863552440755,239987.74331656515,1198933.083493148,20,32,313,14550.397763025818,99726.57347570552
2023-11-13,1447440.77293051,8519.863552440755,239223.94477033144,1199696.964607738,20,32,313,14550.397763025818,99726.57347570552
2023-11-15,1466820.762621526,23724.036713051988,228154.22889524026,1214942.4970132336,19,32,314,14574.123920818383,100201.09663155682
2023-11-16,1477283.384170584,23724.036713051988,229992.79144219137,1223566.5560153406,19,32,314,14574.123920818383,100201.09663155682
2023-11-17,1481079.9293410503,35983.74938573821,217786.72306000502,1227309.4568953072,18,32,315,14592.339603413735,100547.1946008685
2023-11-20,1481354.6546849578,35983.74938573821,217903.76030740546,1227467.1449918142,18,32,315,14592.339603413735,100547.1946008685
2023-11-21,1488122.553591245,35983.74938573821,218736.59011520413,1233402.2140903028,18,32,315,14592.339603413735,100547.1946008685
2023-11-22,1490404.9299167409,49803.47654494614,204970.12289023685,1235631.3304815579,17,32,316,14610.290512314765,100870.31096108703
2023-11-23,1490277.6255157627,49803.47654494614,204684.45518239372,1235789.693788423,17,32,316,14610.290512314765,100870.31096108703
2023-11-24,1485650.2548891262,49803.47654494614,204669.8491090522,1231176.9292351278,17,32,316,14610.290512314765,100870.31096108703
