date,symbol,open,high,low,close,volume
2024-07-26,UPL,529.15,545.0,529.1,544.15,1488053
2024-07-25,UPL,532.0,534.8,525.4,529.45,1833988
2024-07-24,UPL,536.3,543.45,535.0,537.05,1398404
2024-07-23,UPL,548.0,553.35,522.3,540.4,2813862
2024-07-22,UPL,540.0,558.2,532.85,545.45,2445572
2024-07-19,UPL,558.65,560.25,541.25,542.6,1483516
2024-07-18,UPL,557.3,561.0,554.95,558.65,1258371
2024-07-16,UPL,566.0,572.0,555.5,557.3,1674706
2024-07-15,UPL,566.0,567.5,560.8,565.05,1699641
2024-07-12,UPL,560.45,570.95,558.1,563.65,3741532
2024-07-11,UPL,560.85,566.4,555.1,557.7,3781459
2024-07-10,UPL,566.05,569.95,547.35,559.8,2033444
2024-07-09,UPL,568.0,572.3,563.0,563.95,1427039
2024-07-08,UPL,572.7,574.8,562.15,567.4,2695359
2024-07-05,UPL,570.8,573.9,567.7,572.7,1072378
2024-07-04,UPL,575.0,579.95,568.65,570.45,2148117
2024-07-03,UPL,567.5,576.0,567.2,572.15,1898741
2024-07-02,UPL,574.1,580.3,561.9,566.65,2781201
2024-07-01,UPL,570.05,574.7,567.3,573.45,1451065
2024-06-28,UPL,568.0,576.0,566.5,570.85,1535016
2024-06-27,UPL,570.2,574.6,559.25,567.85,1627135
2024-06-26,UPL,570.9,576.0,564.65,570.35,2354064
2024-06-25,UPL,573.0,576.8,567.0,571.1,1985056
2024-06-24,UPL,562.0,578.7,551.1,572.1,5572012
2024-06-21,UPL,574.35,574.35,561.25,565.95,5890175
2024-06-20,UPL,557.3,577.7,554.6,569.0,7472902
2024-06-19,UPL,560.0,568.45,550.7,557.3,6124293
2024-06-18,UPL,554.0,557.6,550.1,556.15,1587670
2024-06-14,UPL,557.7,559.8,549.7,551.7,2022269
2024-06-13,UPL,551.7,561.85,547.25,557.7,3845237
2024-06-12,UPL,555.4,558.6,548.5,550.05,2173771
2024-06-11,UPL,550.2,557.3,543.3,554.3,4059315
2024-06-10,UPL,542.65,555.6,532.1,551.5,6964090
2024-06-07,UPL,541.9,542.9,534.2,539.75,2223919
2024-06-06,UPL,529.8,545.5,527.7,537.4,6939999
2024-06-05,UPL,505.05,531.95,496.1,528.45,3690376
2024-06-04,UPL,529.75,529.75,478.0,495.95,4202540
2024-06-03,UPL,517.0,531.25,514.0,528.15,5297460
2024-05-31,UPL,508.0,517.9,506.85,508.8,8552013
2024-05-30,UPL,516.7,518.35,505.0,506.1,1828288
2024-05-29,UPL,519.0,522.6,515.5,517.25,2522672
2024-05-28,UPL,527.5,529.0,516.1,517.5,2462629
2024-05-27,UPL,518.4,529.65,516.85,524.95,6701240
2024-05-24,UPL,516.5,522.0,513.4,515.8,4320492
2024-05-23,UPL,515.55,517.7,507.2,510.85,1824121
2024-05-22,UPL,514.0,522.05,510.35,515.55,2807354
2024-05-21,UPL,508.5,514.0,508.5,512.1,2372489
2024-05-18,UPL,515.35,515.35,510.05,511.4,213106
2024-05-17,UPL,510.1,515.3,510.1,511.25,1911312
2024-05-16,UPL,516.15,519.8,505.85,510.0,2398088
2024-05-15,UPL,512.95,521.3,510.05,514.8,4234215
2024-05-14,UPL,531.8,531.8,501.65,510.05,15011896
2024-05-13,UPL,502.45,540.0,502.45,534.1,27039443
2024-05-10,UPL,471.0,505.0,464.45,501.9,6834995
2024-05-09,UPL,477.85,482.25,464.35,466.45,2726979
2024-05-08,UPL,475.5,479.95,471.15,477.85,1861827
2024-05-07,UPL,485.0,486.45,470.4,474.1,4535131
2024-05-06,UPL,495.25,498.3,481.1,483.4,3652474
2024-05-03,UPL,500.85,503.95,490.05,493.6,2196892
2024-05-02,UPL,508.1,510.4,497.3,498.2,2405482
2024-04-30,UPL,506.9,513.7,506.3,507.15,3509055
2024-04-29,UPL,510.95,510.95,504.5,507.05,2501739
2024-04-26,UPL,509.0,513.9,502.5,508.45,2825380
2024-04-25,UPL,499.0,506.95,496.35,505.9,4660938
2024-04-24,UPL,495.85,503.9,495.6,498.45,1683615
2024-04-23,UPL,494.9,500.6,492.25,495.5,3014860
2024-04-22,UPL,492.0,494.6,487.6,493.4,1860795
2024-04-19,UPL,473.25,489.95,466.55,487.55,3209153
2024-04-18,UPL,488.3,492.85,476.2,478.4,2706609
2024-04-16,UPL,488.05,492.0,483.05,484.65,3104362
2024-04-15,UPL,495.0,499.55,486.5,489.95,4994330
2024-04-12,UPL,505.55,511.1,500.5,502.05,5337775
2024-04-10,UPL,490.5,509.0,489.4,504.3,7937541
2024-04-09,UPL,492.7,496.5,486.8,489.85,2166661
2024-04-08,UPL,500.55,500.55,483.05,489.05,4603981
2024-04-05,UPL,499.5,500.6,489.9,494.35,6753966
2024-04-04,UPL,480.0,496.75,473.1,492.95,9778795
2024-04-03,UPL,475.0,482.95,470.5,476.7,4788697
2024-04-02,UPL,463.0,476.95,461.0,475.25,5564890
2024-04-01,UPL,460.0,468.35,458.45,466.2,2840448
2024-03-28,UPL,458.45,459.7,452.1,456.0,5435115
2024-03-27,UPL,465.0,467.2,453.45,455.5,27876181
2024-03-26,UPL,468.0,471.1,464.35,465.4,5072326
2024-03-22,UPL,455.6,474.35,455.0,470.0,7019704
2024-03-21,UPL,457.0,461.95,452.25,455.55,3138092
2024-03-20,UPL,461.0,464.7,449.25,455.45,3018788
2024-03-19,UPL,464.0,471.45,460.25,461.05,2538838
2024-03-18,UPL,475.0,475.0,463.0,466.05,2951978
2024-03-15,UPL,462.2,477.5,459.45,475.15,6120565
2024-03-14,UPL,451.85,464.2,447.8,462.1,2505609
